age,comprehension,production,isnorming,birthorder,caregivereducation,race,sex,monolingual
14,138,6,TRUE,First,Secondary,White,Female,TRUE
9,75,3,TRUE,First,Secondary,White,Male,TRUE
10,74,3,TRUE,Second,Secondary,Black,Male,TRUE
17,96,33,TRUE,First,College,White,Male,TRUE
17,248,131,TRUE,First,Secondary,White,Female,TRUE
18,191,63,TRUE,Second,Secondary,White,Male,TRUE
9,8,0,TRUE,First,College,Asian,Female,TRUE
9,47,11,TRUE,First,College,White,Female,TRUE
9,32,6,TRUE,First,Some College,Asian,Female,TRUE
8,9,1,TRUE,Third,College,White,Female,TRUE
8,8,2,TRUE,Third,College,White,Female,TRUE
9,1,1,TRUE,Second,Graduate,White,Female,TRUE
14,161,23,TRUE,First,Secondary,Black,Male,TRUE
8,50,0,TRUE,Second,Some College,Asian,Male,TRUE
8,8,0,TRUE,Second,Some College,Asian,Male,TRUE
8,9,2,TRUE,Third,Graduate,White,Male,TRUE
16,244,137,TRUE,First,Secondary,White,Female,TRUE
17,122,0,TRUE,Second,College,White,Female,TRUE
14,256,52,TRUE,Third,College,White,Female,TRUE
14,84,0,TRUE,First,Secondary,White,Female,TRUE
15,60,9,TRUE,Second,College,White,Female,TRUE
15,144,20,TRUE,Third,Graduate,White,Female,TRUE
15,150,33,TRUE,Second,College,White,Male,TRUE
17,92,34,TRUE,First,Graduate,White,Female,TRUE
16,279,179,TRUE,First,Secondary,White,Female,TRUE
17,265,61,TRUE,Third,Some College,White,Male,TRUE
17,141,64,TRUE,Third,Secondary,White,Male,TRUE
17,396,347,TRUE,Second,Secondary,White,Female,TRUE
17,213,56,TRUE,Second,Some College,White,Male,TRUE
16,104,19,TRUE,First,Secondary,White,Female,TRUE
16,85,17,TRUE,First,Secondary,White,Female,TRUE
17,176,117,TRUE,First,College,White,Female,TRUE
14,192,40,TRUE,Second,Some College,White,Female,TRUE
14,184,12,TRUE,First,Some College,White,Male,TRUE
13,184,0,TRUE,Third,Some College,White,Male,TRUE
14,68,6,TRUE,Second,College,White,Male,TRUE
16,64,17,TRUE,Second,Secondary,White,Female,TRUE
15,224,69,TRUE,Second,Secondary,White,Male,TRUE
14,150,17,TRUE,First,Some Graduate,White,Female,TRUE
15,299,90,TRUE,First,Secondary,White,Female,TRUE
15,138,7,TRUE,Second,Some Graduate,White,Female,TRUE
15,73,0,TRUE,First,Some College,White,Female,TRUE
16,246,9,TRUE,Second,Graduate,White,Male,TRUE
14,203,18,TRUE,First,College,White,Male,TRUE
15,183,15,TRUE,First,Graduate,White,Female,TRUE
15,311,37,TRUE,Second,Some College,White,Female,TRUE
15,225,88,TRUE,First,Secondary,White,Female,TRUE
15,33,24,TRUE,Third,College,White,Female,TRUE
15,165,20,TRUE,Third,Some College,White,Male,TRUE
15,171,6,TRUE,First,Some Graduate,White,Female,TRUE
15,152,2,TRUE,First,Graduate,White,Male,TRUE
14,211,54,TRUE,First,College,Black,Female,TRUE
15,244,38,TRUE,First,Some College,White,Male,TRUE
15,205,20,TRUE,First,Some College,White,Male,TRUE
15,290,22,TRUE,First,College,White,Female,TRUE
14,173,22,TRUE,First,Secondary,White,Female,TRUE
14,86,15,TRUE,First,College,White,Male,TRUE
14,321,26,TRUE,Second,Secondary,White,Male,TRUE
14,95,10,TRUE,Second,Graduate,White,Female,TRUE
14,125,18,TRUE,Second,Secondary,White,Female,TRUE
14,203,45,TRUE,Third,Some College,White,Female,TRUE
14,159,3,TRUE,First,Some Graduate,White,Male,TRUE
14,234,46,TRUE,Third,Some College,White,Male,TRUE
14,58,3,TRUE,First,Some Graduate,White,Female,TRUE
14,262,19,TRUE,Second,Some College,White,Female,TRUE
10,36,0,TRUE,Second,Secondary,White,Male,TRUE
10,18,0,TRUE,Second,Some College,White,Male,TRUE
9,25,0,TRUE,Second,College,White,Female,TRUE
9,73,4,TRUE,First,Secondary,White,Female,TRUE
9,70,0,TRUE,Third,Secondary,White,Male,TRUE
9,8,0,TRUE,First,College,White,Female,TRUE
8,10,1,TRUE,First,Secondary,Black,Male,TRUE
8,10,2,TRUE,First,Some College,White,Female,TRUE
11,84,0,TRUE,Third,Some Graduate,White,Female,TRUE
11,92,9,TRUE,Third,Some College,White,Female,TRUE
9,6,0,TRUE,Third,College,White,Male,TRUE
12,36,2,TRUE,Second,Some College,White,Male,TRUE
10,52,1,TRUE,Second,Graduate,White,Male,TRUE
8,0,0,TRUE,Fourth,College,White,Female,TRUE
8,27,0,TRUE,Second,Some College,White,Female,TRUE
8,8,1,TRUE,First,College,White,Female,TRUE
8,15,0,TRUE,First,Graduate,White,Male,TRUE
8,24,0,TRUE,Third,College,White,Female,TRUE
8,15,0,TRUE,Third,Some Graduate,White,Male,TRUE
8,102,0,TRUE,First,Some Secondary,White,Female,TRUE
16,295,81,TRUE,Second,Some Graduate,White,Female,TRUE
11,130,16,TRUE,First,Secondary,White,Female,TRUE
10,30,3,TRUE,First,Graduate,White,Male,TRUE
11,40,2,TRUE,Third,Some College,White,Male,TRUE
10,170,0,TRUE,Second,Some College,White,Female,TRUE
